Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d,sg_category
t2,t2,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
modori,modori,Home & Living,Home & Living,Home & Living,,Home & Living
best mascara asian lashes,best mascara asian lashes,Beauty & Personal Care,,,,Beauty & Personal Care
desktop shelf,desktop shelf,Home & Living,Home & Living,Home & Living,,Home & Living
axis y,axis y,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
car sunshade,car sunshade,Automotive,Automotive,Automotive,,Automotive
sound proof foam,sound proof foam,Home & Living,Hobbies & Books,Home & Living,Home & Living,Home & Living
electric scooters singapore,electric scooters singapore,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Health,Sports & Outdoors
aftershokz singapore,aftershokz singapore,Mobile & Gadgets,Audio,Audio,Audio,Mobile & Gadgets
desk shelve,desk shelve,Home & Living,Home & Living,,,Home & Living
logitech g915,logitech g915,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
avolta portable aircon,avolta portable aircon,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
movable table,movable table,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
microscope singapore,microscope singapore,"Toys, Kids & Babies","Toys, Kids & Babies",,,"Toys, Kids & Babies"
menstrual cup singapore,menstrual cup singapore,Health & Wellness,,Beauty & Personal Care,,Health & Wellness
misty dream,misty dream,Home & Living,Home & Living,,,Home & Living
sterra sg,sterra sg,Home Appliances,Home Appliances,Home Appliances,Home Appliances,Home Appliances
hengai,hengai,Home & Living,,Beauty & Personal Care,,Home & Living
bubble bath,bubble bath,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
hysses diffuser,hysses diffuser,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
single mattress singapore,single mattress singapore,Home & Living,Home & Living,,,Home & Living
surgisyl,surgisyl,Health & Wellness,Health & Wellness,Health & Wellness,,Health & Wellness
madshrimp,madshrimp,Pet Food & Supplies,Pet Food & Supplies,,,Pet Food & Supplies
red magic 6 pro,red magic 6 pro,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
bicycle fold,bicycle fold,Sports & Outdoors,Sports & Outdoors,,,Sports & Outdoors
weight plates,weight plates,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
beef short ribs singapore,beef short ribs singapore,Food & Beverages,,,,Food & Beverages
transtar travel vtl ticket booking,transtar travel vtl ticket booking,"Dining, Travel & Services",,,,"Dining, Travel & Services"
teenager bra,teenager bra,Kids Fashion,Women's Apparel,Women's Apparel,Women's Apparel,Kids Fashion
carpets for living room,carpets for living room,Home & Living,Home & Living,Home & Living,,Home & Living
laneign,laneign,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,,Beauty & Personal Care
nerf guns,nerf guns,"Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies",,"Toys, Kids & Babies"
car pow,car pow,Automotive,Automotive,Automotive,,Automotive
bachacoffee,bachacoffee,Food & Beverages,Food & Beverages,,,Food & Beverages
engraving machine,engraving machine,Computers & Peripherals,Home Appliances,Home Appliances,Home Appliances,Computers & Peripherals
haiku fan singapore,haiku fan singapore,Home Appliances,,,,Home Appliances
samsung galaxy watch 4,samsung galaxy watch 4,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
starbucks toffee nut latte,starbucks toffee nut latte,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
bromton bike,bromton bike,Sports & Outdoors,Sports & Outdoors,,,Sports & Outdoors
daun sanna,daun sanna,Health & Wellness,Health & Wellness,Health & Wellness,Health & Wellness,Health & Wellness
teachers' day gift idea singapore,teachers' day gift idea singapore,Lifestyle,,,,Lifestyle
superga shoes,superga shoes,Women's Shoes,Women's Shoes,Women's Shoes,,Women's Shoes
clorex,clorex,Home & Living,Home & Living,,,Home & Living
boxes for gifts,boxes for gifts,Home & Living,Home & Living,Home & Living,,Home & Living
we re not really strangers,we re not really strangers,Hobbies & Books,Hobbies & Books,Hobbies & Books,Hobbies & Books,Hobbies & Books
hand held mixer,hand held mixer,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
epomaker,epomaker,Computers & Peripherals,Computers & Peripherals,,,Computers & Peripherals
epitex pillow review,epitex pillow review,Home & Living,,,,Home & Living
healthier choice snacks,healthier choice snacks,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
ohora,ohora,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care,Beauty & Personal Care
coconut shake recipe,coconut shake recipe,Lifestyle,,,,Lifestyle
yusheng delivery,yusheng delivery,Food & Beverages,,Food & Beverages,,Food & Beverages
pure dhab,pure dhab,Health & Wellness,Health & Wellness,Health & Wellness,,Health & Wellness
fila backpack,fila backpack,Women's Bags,Women's Bags,Women's Bags,,Women's Bags
reusable film camera,reusable film camera,Cameras & Drones,Cameras & Drones,Cameras & Drones,,Cameras & Drones
samsung galaxy s21 ultra singapore,samsung galaxy s21 ultra singapore,Mobile & Gadgets,,,,Mobile & Gadgets
3d2n staycation singapore,3d2n staycation singapore,"Dining, Travel & Services","Dining, Travel & Services",,,"Dining, Travel & Services"
hot pockets singapore,hot pockets singapore,Sports & Outdoors,,,,Sports & Outdoors
metal coat hanger wall,metal coat hanger wall,Home & Living,,,,Home & Living
rigel toilet bowl,rigel toilet bowl,Home & Living,Home & Living,Home & Living,,Home & Living
veja singapore,veja singapore,Women's Shoes,Men Clothes,Beauty,Beauty,Women's Shoes
wall light singapore,wall light singapore,Home & Living,Home & Living,,,Home & Living
promask face mask,promask face mask,Health & Wellness,,,,Health & Wellness
the grey space,the grey space,Women's Bags,Home & Living,Women's Bags,,Women's Bags
velkhana,velkhana,Video Games,Hobbies & Books,Hobbies & Books,,Video Games
crius folding bike,crius folding bike,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
playhao,playhao,"Toys, Kids & Babies","Toys, Kids & Babies",,,"Toys, Kids & Babies"
mobilerelation,mobilerelation,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
ensure life,ensure life,Health & Wellness,Health & Wellness,Health & Wellness,Health & Wellness,Health & Wellness
neuflo uses,neuflo uses,Health & Wellness,,,,Health & Wellness
g pro wireless,g pro wireless,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
tube cup,tube cup,Home & Living,,Home & Living,,Home & Living
meguri,meguri,Food & Beverages,Women's Apparel,Beauty & Personal Care,,Food & Beverages
bladeless fan singapore,bladeless fan singapore,Home Appliances,Home Appliances,Mobile & Gadgets,,Home Appliances
iris healthcare mask,iris healthcare mask,Health & Wellness,Health & Wellness,Health & Wellness,Health & Wellness,Health & Wellness
home office desk singapore,home office desk singapore,Home & Living,,,,Home & Living
mylatex mattress singapore,mylatex mattress singapore,Home & Living,,,,Home & Living
pixel 4a 5g singapore,pixel 4a 5g singapore,Mobile & Gadgets,,,,Mobile & Gadgets
moka pot singapore,moka pot singapore,Home & Living,Home & Living,,,Home & Living
monkey shoulder,monkey shoulder,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
iphone 12 pro max price,iphone 12 pro max price,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
gunpla singapore,gunpla singapore,Hobbies & Books,Hobbies & Books,,,Hobbies & Books
plastic chair,plastic chair,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
blue light glasses singapore,blue light glasses singapore,Jewellery & Accessories,Jewellery & Accessories,,,Jewellery & Accessories
led string lights,led string lights,Home & Living,Home & Living,Home & Living,,Home & Living
web camera,web camera,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
foldable trolley,foldable trolley,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
sunday bedding,sunday bedding,Home & Living,Home & Living,Home & Living,,Home & Living
asus rog zephyrus g14,asus rog zephyrus g14,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
yale digital lock singapore,yale digital lock singapore,Home & Living,,,,Home & Living
ikea sg online,ikea sg online,Home & Living,,,,Home & Living
hair crimper,hair crimper,Home Appliances,Beauty & Personal Care,Beauty & Personal Care,,Home Appliances
baby breath,baby breath,Home & Living,Home & Living,Home & Living,,Home & Living
g shock sg,g shock sg,Watches,Watches,,,Watches
hand bag singapore,hand bag singapore,Women's Bags,Women's Bags,Women's Bags,,Women's Bags
shopping trolley cart,shopping trolley cart,Home & Living,Home & Living,Home & Living,,Home & Living
foot massager,foot massager,Health & Wellness,Health & Wellness,Health & Wellness,Health & Wellness,Health & Wellness
tanyu,tanyu,Home & Living,Home & Living,,,Home & Living
l spa,l spa,Sports & Outdoors,Health & Wellness,,,Sports & Outdoors
redmi 9,redmi 9,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
basketball shoes singapore,basketball shoes singapore,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
lenovo legion 5,lenovo legion 5,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
eazea,eazea,Home & Living,Home & Living,Jewellery & Accessories,,Home & Living
febreze spray,febreze spray,Home & Living,Home & Living,Home & Living,,Home & Living
wh1000xm4,wh1000xm4,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
water taps,water taps,Home & Living,Home & Living,,,Home & Living
double wall glasses,double wall glasses,Home & Living,Home & Living,Home & Living,,Home & Living
poly mailers,poly mailers,Home & Living,Home & Living,Home & Living,,Home & Living
mi 11,mi 11,Mobile & Gadgets,Mobile & Gadgets,Computers & Peripherals,,Mobile & Gadgets
bed for kids,bed for kids,Home & Living,"Toys, Kids & Babies","Toys, Kids & Babies",,Home & Living
cooling pad,cooling pad,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
poly mailing bags,poly mailing bags,Home & Living,Home & Living,Home & Living,,Home & Living
wall shelves,wall shelves,Home & Living,Home & Living,Home & Living,,Home & Living
rain coat,rain coat,Home & Living,Home & Living,Automotive,,Home & Living
cny 2022,cny 2022,Home & Living,Food & Beverages,,,Home & Living
ogawa massage chair singapore,ogawa massage chair singapore,Home & Living,,,,Home & Living
sacha inchi oil singapore,sacha inchi oil singapore,Health & Wellness,Health,Beauty,Beauty,Health & Wellness
bibik's choice chicken patty,bibik's choice chicken patty,Food & Beverages,Food & Beverages,Pets,Pets,Food & Beverages
octonauts toys,octonauts toys,"Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies",,"Toys, Kids & Babies"
fire extinguisher,fire extinguisher,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
adidas continental 80,adidas continental 80,Women's Shoes,Men's Shoes,Men's Shoes,,Women's Shoes
redmi9,redmi9,Mobile & Gadgets,-,-,,Mobile & Gadgets
joseph joseph chopping board,joseph joseph chopping board,Home & Living,Home & Living,Home & Living,,Home & Living
mahjong keycaps,mahjong keycaps,Computers & Peripherals,Computers & Peripherals,,,Computers & Peripherals
hanfu,hanfu,Women's Apparel,Women's Apparel,Women's Apparel,Women's Apparel,Women's Apparel
christmas cards singapore,christmas cards singapore,Home & Living,Home & Living,Home & Living,,Home & Living
cockroach spray,cockroach spray,Home & Living,Home & Living,Home & Living,,Home & Living
why mobile,why mobile,Mobile & Gadgets,Mobile & Gadgets,,,Mobile & Gadgets
tretinoin singapore,tretinoin singapore,Others,Books & Magazines,Hobbies & Collections,Hobbies & Collections,Others
vtl transtar,vtl transtar,"Dining, Travel & Services",Books & Magazines,Books & Magazines,Books & Magazines,"Dining, Travel & Services"
monitor 34 inch,monitor 34 inch,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
fake flower,fake flower,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
karaoke at home,karaoke at home,Home Appliances,Mobile & Gadgets,Mobile & Gadgets,,Home Appliances
4k monitor 32 inch,4k monitor 32 inch,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
phone watch,phone watch,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,,Mobile & Gadgets
wood shelf,wood shelf,Home & Living,Home & Living,Home & Living,,Home & Living
haji lane cafe,haji lane cafe,Lifestyle,,,,Lifestyle
sleeping bra,sleeping bra,Women's Apparel,Women's Apparel,Women's Apparel,,Women's Apparel
wooden tray,wooden tray,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
chloe bag,chloe bag,Women's Bags,Women's Bags,Women's Bags,,Women's Bags
postcards singapore,postcards singapore,Home & Living,Hobbies & Books,Home & Living,,Home & Living
slack pants,slack pants,Men's Wear,Men's Wear,Men's Wear,,Men's Wear
aircon system 3,aircon system 3,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
toilet accessories,toilet accessories,Home & Living,Home & Living,Home & Living,,Home & Living
xxx hot,xxx hot,Food & Beverages,Mobile & Gadgets,Women Clothes,Women Clothes,Food & Beverages
de longhi kettle,de longhi kettle,Home Appliances,Home Appliances,Home Appliances,,Home Appliances
cinammon toast crunch,cinammon toast crunch,Food & Beverages,,Food & Beverages,,Food & Beverages
disposal gloves,disposal gloves,Home & Living,Home & Living,Men's Wear,,Home & Living
laptop bed table,laptop bed table,Home & Living,Home & Living,Home & Living,,Home & Living
desktop organizers,desktop organizers,Home & Living,Home & Living,Home & Living,,Home & Living
jacket waterproof,jacket waterproof,Sports & Outdoors,Men's Wear,Men's Wear,,Sports & Outdoors
a5 notebooks,a5 notebooks,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
wood polish,wood polish,Home & Living,Home & Living,Home & Living,,Home & Living
excel hana,excel hana,Health & Wellness,Health & Wellness,Health & Wellness,,Health & Wellness
hdmi displayport adapter,hdmi displayport adapter,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
sambazon acai,sambazon acai,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages,Food & Beverages
plastic storage box,plastic storage box,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
3 wheel bicycle for adults singapore,3 wheel bicycle for adults singapore,Sports & Outdoors,,,,Sports & Outdoors
herb singapore,herb singapore,Health & Wellness,Health & Wellness,,,Health & Wellness
popmart,popmart,Hobbies & Books,Hobbies & Books,Hobbies & Books,,Hobbies & Books
iron board,iron board,Home & Living,Home & Living,Home & Living,Home & Living,Home & Living
stool chairs,stool chairs,Home & Living,Home & Living,,,Home & Living
marble round dining table,marble round dining table,Home & Living,Home & Living,Home & Living,,Home & Living
carera,carera,Home & Living,Home & Living,Women's Apparel,,Home & Living
bottle shaker,bottle shaker,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,,Sports & Outdoors
laptop covers,laptop covers,Computers & Peripherals,Computers & Peripherals,Computers & Peripherals,,Computers & Peripherals
rayban,rayban,Jewellery & Accessories,Jewellery & Accessories,Jewellery & Accessories,,Jewellery & Accessories
baker's brew,baker's brew,Food & Beverages,Food & Beverages,Food & Beverages,,Food & Beverages
cropped long sleeve top,cropped long sleeve top,Women's Apparel,Women's Apparel,Women's Apparel,,Women's Apparel
